updated;price
2024-02-23;61.666
2024-02-22;61.6053
2024-02-21;61.4349
2024-02-20;61.615
2024-02-19;61.6378
2024-02-18;61.6378
2024-02-17;61.6378
2024-02-16;61.0692
2024-02-15;60.6995
2024-02-14;61.0684
2024-02-13;60.961
2024-02-12;60.8367
2024-02-11;60.8367
2024-02-10;60.8367
2024-02-09;61.6512
2024-02-08;61.6513
2024-02-07;61.0093
2024-02-06;61.3483
2024-02-05;61.9322
2024-02-04;61.9322
2024-02-03;61.9322
2024-02-02;61.4855
2024-02-01;60.7917
2024-01-31;60.6087
2024-01-30;60.4568
2024-01-29;60.6476
2024-01-28;60.6476
2024-01-27;60.6476
2024-01-26;60.0042
2024-01-25;59.6023
2024-01-24;59.3652
2024-01-23;59.3927
2024-01-22;59.8255
2024-01-21;59.8255
2024-01-20;59.8255
2024-01-19;59.8454
2024-01-18;59.9457
2024-01-17;60.093
2024-01-16;60.4254
2024-01-15;60.6847
2024-01-14;60.6847
2024-01-13;60.6847
2024-01-12;61.0058
2024-01-11;61.8087
2024-01-10;62.8155
2024-01-09;63.3302
2024-01-08;63.3302
2024-01-07;63.3302
2024-01-06;63.3302
2024-01-05;63.3302
2024-01-04;63.3302
2024-01-03;63.3302
2024-01-02;63.3302
2024-01-01;63.3302
2023-12-31;63.3302
2023-12-30;63.3302
2023-12-29;63.7516
2023-12-28;64.2868
2023-12-27;64.4915
2023-12-26;64.6531
2023-12-25;64.7868
2023-12-24;64.7868
2023-12-23;64.7868
2023-12-22;63.9692
2023-12-21;62.7904
2023-12-20;62.774
2023-12-19;63.6062
2023-12-18;62.9892
2023-12-17;62.9892
2023-12-16;62.9892
2023-12-15;62.9601
2023-12-14;61.7691
2023-12-13;61.8764
2023-12-12;62.5324
2023-12-11;63.639
2023-12-10;63.639
2023-12-09;63.639
2023-12-08;63.401
2023-12-07;63.0359
2023-12-06;62.2162
2023-12-05;61.9561
2023-12-04;60.7361
2023-12-03;60.7361
2023-12-02;60.7361
2023-12-01;60.268
2023-11-30;60.523
2023-11-29;59.8273
2023-11-28;59.3421
2023-11-27;59.3831
2023-11-26;59.3831
2023-11-25;59.3831
2023-11-24;59.4606
2023-11-23;59.4904
2023-11-22;59.3717
2023-11-21;59.3929
2023-11-20;59.1477
2023-11-19;59.1477
2023-11-18;59.1477
2023-11-17;58.8077
2023-11-16;59.3843
2023-11-15;60.1483
2023-11-14;60.7441
2023-11-13;60.8296
2023-11-12;60.8296
2023-11-11;60.8296
2023-11-10;60.8947
2023-11-09;61.2159
2023-11-08;61.5854
2023-11-07;61.8173
2023-11-06;61.8173
2023-11-05;61.8173
2023-11-04;61.8173
2023-11-03;61.909
2023-11-02;61.6524
2023-11-01;61.5742
2023-10-31;62.2453
2023-10-30;62.0704
2023-10-29;62.0704
2023-10-28;62.0704
2023-10-27;62.3038
2023-10-26;62.1336
2023-10-25;62.4524
2023-10-24;63.1682
2023-10-23;64.0009
2023-10-22;64.0009
2023-10-21;64.0009
2023-10-20;64.9756
2023-10-19;65.0016
2023-10-18;65.0925
2023-10-17;65.0572
2023-10-16;64.9453
2023-10-15;64.9453
2023-10-14;64.9453
2023-10-13;65.0361
2023-10-12;67.2818
2023-10-11;67.2736
2023-10-10;68.2006
2023-10-09;67.6161
2023-10-08;67.6161
2023-10-07;67.6161
2023-10-06;66.9867
2023-10-05;66.6413
2023-10-04;66.2403
2023-10-03;65.7751
2023-10-02;65.1865
2023-10-01;65.1865
2023-09-30;65.1865
2023-09-29;64.8885
2023-09-28;64.7521
2023-09-27;64.6412
2023-09-26;64.7881
2023-09-25;65.0514
2023-09-24;65.0514
2023-09-23;65.0514
2023-09-22;64.7676
2023-09-21;65.3702
2023-09-20;65.1612
2023-09-19;65.5235
2023-09-18;65.5144
2023-09-17;65.5144
2023-09-16;65.5144
2023-09-15;65.3622
2023-09-14;65.1857
2023-09-13;64.5867
2023-09-12;65.6877
2023-09-11;66.6604
2023-09-10;66.6604
2023-09-09;66.6604
2023-09-08;66.4205
2023-09-07;66.2002
2023-09-06;66.3526
2023-09-05;65.9927
2023-09-04;66.1502
2023-09-03;66.1502
2023-09-02;66.1502
2023-09-01;65.9508
2023-08-31;65.6998
2023-08-30;65.3379
2023-08-29;65.1728
2023-08-28;64.8266
2023-08-27;64.8266
2023-08-26;64.8266
2023-08-25;65.2029
2023-08-24;64.8196
2023-08-23;64.3545
2023-08-22;64.8051
2023-08-21;64.1516
2023-08-20;64.1516
2023-08-19;64.1516
2023-08-18;64.0342
2023-08-17;66.386
2023-08-16;66.9381
2023-08-15;69.6443
2023-08-14;68.2796
2023-08-13;68.2796
2023-08-12;68.2796
2023-08-11;67.635
2023-08-10;67.955
2023-08-09;67.1763
2023-08-08;68.1728
2023-08-07;66.5083
2023-08-06;66.5083
2023-08-05;66.5083
2023-08-04;65.4608
2023-08-03;64.8512
2023-08-02;64.2911
2023-08-01;64.996
2023-07-31;65.2502
2023-07-30;65.2502
2023-07-29;65.2502
2023-07-28;64.1643
2023-07-27;63.8403
2023-07-26;63.6575
2023-07-25;63.8235
2023-07-24;64.5604
2023-07-23;64.5604
2023-07-22;64.5604
2023-07-21;65.082
2023-07-20;65.6195
2023-07-19;65.339
2023-07-18;65.7612
2023-07-17;65.5411
2023-07-16;65.5411
2023-07-15;65.5411
2023-07-14;65.0853
2023-07-13;64.8111
2023-07-12;63.997
2023-07-11;64.2057
2023-07-10;63.628
2023-07-09;63.628
2023-07-08;63.628
2023-07-07;64.1285
2023-07-06;62.5176
2023-07-05;61.9689
2023-07-04;61.8341
2023-07-03;61.0052
2023-07-02;61.0052
2023-07-01;61.0052
2023-06-30;60.3356
2023-06-29;59.495
2023-06-28;59.2934
2023-06-27;59.0282
2023-06-26;58.7638
2023-06-25;58.7638
2023-06-24;58.7638
2023-06-23;58.9285
2023-06-22;59.4963
2023-06-21;59.2443
2023-06-20;59.1705
2023-06-19;59.7115
2023-06-18;59.7115
2023-06-17;59.7115
2023-06-16;59.8525
2023-06-15;60.2192
2023-06-14;59.8929
2023-06-13;59.4288
2023-06-12;59.4288
2023-06-11;59.4288
2023-06-10;59.4288
2023-06-09;58.6924
2023-06-08;58.4138
2023-06-07;58.2272
2023-06-06;58.0344
2023-06-05;58.2887
2023-06-04;58.2887
2023-06-03;58.2887
2023-06-02;58.0607
2023-06-01;57.9358
2023-05-31;57.5433
2023-05-30;56.8778
2023-05-29;57.2008
2023-05-28;57.2008
2023-05-27;57.2008
2023-05-26;57.3692
2023-05-25;57.7796
2023-05-24;57.7652
